session_id,problem_id,is_synthetic,loc,ast_node_count,ast_max_depth,cyclomatic_complexity,function_count,has_traceback_input,error_desc_length,error_family_syntax,error_family_type_or_value,ast_first_step,static_to_exec_ratio,failed_tool_ratio,tool_sequence_entropy,total_investigation_steps,hypothesis_churn_count,hypothesis_rejection_ratio,countercheck_execution_rate,direct_evidence_ratio,label,labeling_method,confidence
synth_sys_000,prob_syntax_err_missing_colon,True,15.0,45.0,4.0,2.0,1.0,1.0,40.0,1.0,0.0,1.0,2.0,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_001,prob_type_err_none_upper,True,16.0,46.0,5.0,3.0,2.0,1.0,41.0,0.0,1.0,1.0,2.2,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_002,prob_logic_err_off_by_one,True,17.0,47.0,6.0,4.0,1.0,1.0,42.0,0.0,1.0,1.0,2.4,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_003,prob_runtime_zerodiv,True,18.0,48.0,4.0,2.0,2.0,1.0,43.0,1.0,0.0,1.0,2.6,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_004,prob_boundary_empty_list,True,19.0,49.0,5.0,3.0,1.0,1.0,44.0,0.0,1.0,1.0,2.8,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_005,prob_syntax_err_missing_colon,True,20.0,50.0,6.0,4.0,2.0,1.0,45.0,0.0,1.0,1.0,2.0,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_006,prob_type_err_none_upper,True,21.0,51.0,4.0,2.0,1.0,1.0,46.0,1.0,0.0,1.0,2.2,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_007,prob_logic_err_off_by_one,True,22.0,52.0,5.0,3.0,2.0,1.0,47.0,0.0,1.0,1.0,2.4,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_008,prob_runtime_zerodiv,True,23.0,53.0,6.0,4.0,1.0,1.0,48.0,0.0,1.0,1.0,2.6,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_009,prob_boundary_empty_list,True,24.0,54.0,4.0,2.0,2.0,1.0,49.0,1.0,0.0,1.0,2.8,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_010,prob_syntax_err_missing_colon,True,15.0,55.0,5.0,3.0,1.0,1.0,50.0,0.0,1.0,1.0,2.0,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_011,prob_type_err_none_upper,True,16.0,56.0,6.0,4.0,2.0,1.0,51.0,0.0,1.0,1.0,2.2,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_012,prob_logic_err_off_by_one,True,17.0,57.0,4.0,2.0,1.0,1.0,52.0,1.0,0.0,1.0,2.4,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_013,prob_runtime_zerodiv,True,18.0,58.0,5.0,3.0,2.0,1.0,53.0,0.0,1.0,1.0,2.6,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_014,prob_boundary_empty_list,True,19.0,59.0,6.0,4.0,1.0,1.0,54.0,0.0,1.0,1.0,2.8,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_015,prob_syntax_err_missing_colon,True,20.0,60.0,4.0,2.0,2.0,1.0,40.0,1.0,0.0,1.0,2.0,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_016,prob_type_err_none_upper,True,21.0,61.0,5.0,3.0,1.0,1.0,41.0,0.0,1.0,1.0,2.2,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_017,prob_logic_err_off_by_one,True,22.0,62.0,6.0,4.0,2.0,1.0,42.0,0.0,1.0,1.0,2.4,0.05,0.85,6.0,2.0,0.5,1.0,0.85,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_018,prob_runtime_zerodiv,True,23.0,63.0,4.0,2.0,1.0,1.0,43.0,1.0,0.0,1.0,2.6,0.05,0.85,4.0,2.0,0.5,0.8,0.75,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_sys_019,prob_boundary_empty_list,True,24.0,64.0,5.0,3.0,2.0,1.0,44.0,0.0,1.0,1.0,2.8,0.05,0.85,5.0,2.0,0.5,0.9,0.8,SYSTEMATIC_VERIFICATION,SYNTHETIC_BENCHMARK,1.0
synth_guess_000,prob_syntax_err_missing_colon,True,10.0,30.0,3.0,1.0,1.0,0.0,15.0,0.0,1.0,0.0,0.25,0.4,0.4,5.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_001,prob_type_err_none_upper,True,11.0,31.0,4.0,2.0,1.0,0.0,16.0,0.0,1.0,0.0,0.25,0.4,0.4,6.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_002,prob_logic_err_off_by_one,True,12.0,32.0,3.0,1.0,1.0,0.0,17.0,0.0,1.0,0.0,0.25,0.4,0.4,7.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_003,prob_runtime_zerodiv,True,13.0,33.0,4.0,2.0,1.0,0.0,18.0,0.0,1.0,0.0,0.25,0.4,0.4,8.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_004,prob_boundary_empty_list,True,14.0,34.0,3.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.25,0.4,0.4,5.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_005,prob_syntax_err_missing_colon,True,15.0,35.0,4.0,2.0,1.0,0.0,20.0,0.0,1.0,0.0,0.25,0.4,0.4,6.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_006,prob_type_err_none_upper,True,16.0,36.0,3.0,1.0,1.0,0.0,21.0,0.0,1.0,0.0,0.25,0.4,0.4,7.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_007,prob_logic_err_off_by_one,True,17.0,37.0,4.0,2.0,1.0,0.0,22.0,0.0,1.0,0.0,0.25,0.4,0.4,8.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_008,prob_runtime_zerodiv,True,10.0,38.0,3.0,1.0,1.0,0.0,23.0,0.0,1.0,0.0,0.25,0.4,0.4,5.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_009,prob_boundary_empty_list,True,11.0,39.0,4.0,2.0,1.0,0.0,24.0,0.0,1.0,0.0,0.25,0.4,0.4,6.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_010,prob_syntax_err_missing_colon,True,12.0,40.0,3.0,1.0,1.0,0.0,15.0,0.0,1.0,0.0,0.25,0.4,0.4,7.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_011,prob_type_err_none_upper,True,13.0,41.0,4.0,2.0,1.0,0.0,16.0,0.0,1.0,0.0,0.25,0.4,0.4,8.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_012,prob_logic_err_off_by_one,True,14.0,42.0,3.0,1.0,1.0,0.0,17.0,0.0,1.0,0.0,0.25,0.4,0.4,5.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_013,prob_runtime_zerodiv,True,15.0,43.0,4.0,2.0,1.0,0.0,18.0,0.0,1.0,0.0,0.25,0.4,0.4,6.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_014,prob_boundary_empty_list,True,16.0,44.0,3.0,1.0,1.0,0.0,19.0,0.0,1.0,0.0,0.25,0.4,0.4,7.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_015,prob_syntax_err_missing_colon,True,17.0,30.0,4.0,2.0,1.0,0.0,20.0,0.0,1.0,0.0,0.25,0.4,0.4,8.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_016,prob_type_err_none_upper,True,10.0,31.0,3.0,1.0,1.0,0.0,21.0,0.0,1.0,0.0,0.25,0.4,0.4,5.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_017,prob_logic_err_off_by_one,True,11.0,32.0,4.0,2.0,1.0,0.0,22.0,0.0,1.0,0.0,0.25,0.4,0.4,6.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_018,prob_runtime_zerodiv,True,12.0,33.0,3.0,1.0,1.0,0.0,23.0,0.0,1.0,0.0,0.25,0.4,0.4,7.0,3.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_guess_019,prob_boundary_empty_list,True,13.0,34.0,4.0,2.0,1.0,0.0,24.0,0.0,1.0,0.0,0.25,0.4,0.4,8.0,4.0,0.66,0.0,0.2,RAPID_TRIAL_AND_ERROR,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_000,prob_syntax_err_missing_colon,True,25.0,60.0,5.0,4.0,2.0,1.0,10.0,1.0,0.0,1.0,0.8,0.6,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_001,prob_type_err_none_upper,True,26.0,61.0,6.0,5.0,3.0,0.0,11.0,1.0,0.0,0.0,0.8,0.65,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_002,prob_logic_err_off_by_one,True,27.0,62.0,7.0,6.0,2.0,1.0,12.0,1.0,0.0,1.0,0.8,0.7,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_003,prob_runtime_zerodiv,True,28.0,63.0,5.0,4.0,3.0,0.0,13.0,1.0,0.0,0.0,0.8,0.75,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_004,prob_boundary_empty_list,True,29.0,64.0,6.0,5.0,2.0,1.0,14.0,1.0,0.0,1.0,0.8,0.6,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_005,prob_syntax_err_missing_colon,True,30.0,65.0,7.0,6.0,3.0,0.0,15.0,1.0,0.0,0.0,0.8,0.65,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_006,prob_type_err_none_upper,True,31.0,66.0,5.0,4.0,2.0,1.0,16.0,1.0,0.0,1.0,0.8,0.7,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_007,prob_logic_err_off_by_one,True,32.0,67.0,6.0,5.0,3.0,0.0,17.0,1.0,0.0,0.0,0.8,0.75,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_008,prob_runtime_zerodiv,True,33.0,68.0,7.0,6.0,2.0,1.0,18.0,1.0,0.0,1.0,0.8,0.6,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_009,prob_boundary_empty_list,True,34.0,69.0,5.0,4.0,3.0,0.0,19.0,1.0,0.0,0.0,0.8,0.65,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_010,prob_syntax_err_missing_colon,True,35.0,70.0,6.0,5.0,2.0,1.0,10.0,1.0,0.0,1.0,0.8,0.7,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_011,prob_type_err_none_upper,True,36.0,71.0,7.0,6.0,3.0,0.0,11.0,1.0,0.0,0.0,0.8,0.75,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_012,prob_logic_err_off_by_one,True,37.0,72.0,5.0,4.0,2.0,1.0,12.0,1.0,0.0,1.0,0.8,0.6,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_013,prob_runtime_zerodiv,True,38.0,73.0,6.0,5.0,3.0,0.0,13.0,1.0,0.0,0.0,0.8,0.65,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_014,prob_boundary_empty_list,True,39.0,74.0,7.0,6.0,2.0,1.0,14.0,1.0,0.0,1.0,0.8,0.7,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_015,prob_syntax_err_missing_colon,True,25.0,75.0,5.0,4.0,3.0,0.0,15.0,1.0,0.0,0.0,0.8,0.75,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_016,prob_type_err_none_upper,True,26.0,76.0,6.0,5.0,2.0,1.0,16.0,1.0,0.0,1.0,0.8,0.6,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_017,prob_logic_err_off_by_one,True,27.0,77.0,7.0,6.0,3.0,0.0,17.0,1.0,0.0,0.0,0.8,0.65,0.92,9.0,6.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_018,prob_runtime_zerodiv,True,28.0,78.0,5.0,4.0,2.0,1.0,18.0,1.0,0.0,1.0,0.8,0.7,0.92,7.0,4.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
synth_unfocused_019,prob_boundary_empty_list,True,29.0,79.0,6.0,5.0,3.0,0.0,19.0,1.0,0.0,0.0,0.8,0.75,0.92,8.0,5.0,0.8,0.2,0.35,UNFOCUSED_EXPLORATION,SYNTHETIC_BENCHMARK,1.0
